"","year","month","day","specialsearchcount","advancedextensioncount"
"1",2018,1,5,7586955,83
"2",2018,1,6,54252967,222
"3",2018,1,7,58958872,242
"4",2018,1,8,63008427,106
"5",2018,1,9,63995251,217
"6",2018,1,10,61962165,184
"7",2018,1,11,61373189,234
"8",2018,1,12,57454861,224
"9",2018,1,13,54000798,206
"10",2018,1,14,59107304,114
"11",2018,1,15,62734990,170
"12",2018,1,16,63483545,190
"13",2018,1,17,62600727,155
"14",2018,1,18,61198529,96
"15",2018,1,19,56940199,119
"16",2018,1,20,53391825,170
"17",2018,1,21,58801846,122
"18",2018,1,22,63325479,192
"19",2018,1,23,62959823,128
"20",2018,1,24,62165556,187
"21",2018,1,25,61162885,122
"22",2018,1,26,56819696,162
"23",2018,1,27,53335034,145
"24",2018,1,28,59383565,169
"25",2018,1,29,63558738,114
"26",2018,1,30,62353504,134
"27",2018,1,31,61339534,190
"28",2018,2,1,45650858,101
"29",2018,2,2,56496074,156
"30",2018,2,3,52975369,114
"31",2018,2,4,58384142,110
"32",2018,2,5,62103978,173
"33",2018,2,6,62423944,140
"34",2018,2,7,61786671,139
"35",2018,2,8,60818936,110
"36",2018,2,9,57073531,188
"37",2018,2,10,52877349,127
"38",2018,2,11,58838124,135
"39",2018,2,12,62196193,161
"40",2018,2,13,61149018,153
"41",2018,2,14,58930804,195
"42",2018,2,15,59432417,176
"43",2018,2,16,57257869,133
"44",2018,2,17,53882158,256
"45",2018,2,18,59550649,340
"46",2018,2,19,64128150,147
"47",2018,2,20,64413592,178
"48",2018,2,21,64041480,115
"49",2018,2,22,63279483,158
"50",2018,2,23,58075284,258
"51",2018,2,24,54029062,121
"52",2018,2,25,60706471,145
"53",2018,2,26,64996711,140
"54",2018,2,27,66501899,180
"55",2018,2,28,62616229,238
"56",2018,3,1,58954446,188
"57",2018,3,2,55062549,151
"58",2018,3,3,51587684,165
"59",2018,3,4,57759530,184
"60",2018,3,5,62629032,185
"61",2018,3,6,61323648,170
"62",2018,3,7,60145861,147
"63",2018,3,8,55876790,170
"64",2018,3,9,55373939,134
"65",2018,3,10,51383189,145
"66",2018,3,11,57159406,122
"67",2018,3,12,61932112,176
"68",2018,3,13,61485099,151
"69",2018,3,14,61640293,162
"70",2018,3,15,59661360,131
"71",2018,3,16,56311105,126
"72",2018,3,17,51677893,128
"73",2018,3,18,57047555,136
"74",2018,3,19,61185659,94
"75",2018,3,20,61103375,123
"76",2018,3,21,60489746,142
"77",2018,3,22,59093720,126
"78",2018,3,23,54086223,126
"79",2018,3,24,49703618,124
"80",2018,3,25,53885304,228
"81",2018,3,26,58397346,151
"82",2018,3,27,57299457,168
"83",2018,3,28,55334620,254
"84",2018,3,29,53445335,140
"85",2018,3,30,51079086,126
"86",2018,3,31,49443980,169
"87",2018,4,1,52883847,155
"88",2018,4,2,58778971,141
"89",2018,4,3,59153574,169
"90",2018,4,4,58851165,235
"91",2018,4,5,58280016,220
"92",2018,4,6,55352864,185
"93",2018,4,7,51821396,148
"94",2018,4,8,57717148,142
"95",2018,4,9,63270304,201
"96",2018,4,10,59339510,147
"97",2018,4,11,62942074,165
"98",2018,4,12,61809890,196
"99",2018,4,13,58252341,170
"100",2018,4,14,54035400,151
"101",2018,4,15,61086516,180
"102",2018,4,16,65791647,276
"103",2018,4,17,64894464,183
"104",2018,4,18,63761888,226
"105",2018,4,19,64645700,199
"106",2018,4,20,59481569,225
"107",2018,4,21,54999148,213
"108",2018,4,22,61917749,118
"109",2018,4,23,69706374,159
"110",2018,4,24,67057685,210
"111",2018,4,25,66306289,200
"112",2018,4,26,63904207,183
"113",2018,4,27,59519604,198
"114",2018,4,28,54610133,222
"115",2018,4,29,59573099,240
"116",2018,4,30,62453252,218
"117",2018,5,1,63031052,283
"118",2018,5,2,63985249,184
"119",2018,5,3,63774741,245
"120",2018,5,4,59650693,156
"121",2018,5,5,54188352,130
"122",2018,5,6,14931433,16
"123",2018,5,7,14241285,27
"124",2018,5,8,14353479,11
"125",2018,5,9,14015758,110
"126",2018,5,10,13339568,171
"127",2018,5,11,13418705,131
"128",2018,5,12,12090606,216
"129",2018,5,13,12851140,164
"130",2018,5,14,14085803,128
"131",2018,5,15,14108026,219
"132",2018,5,16,14058861,166
"133",2018,5,17,14158931,133
"134",2018,5,18,13881656,175
"135",2018,5,19,12533424,106
"136",2018,5,20,13524214,175
"137",2018,5,21,14726770,193
"138",2018,5,22,14616323,278
"139",2018,5,23,14607148,214
"140",2018,5,24,14262044,186
"141",2018,5,25,13551748,160
"142",2018,5,26,12502553,194
"143",2018,5,27,13159995,155
"144",2018,5,28,14772480,144
"145",2018,5,29,15136136,239
"146",2018,5,30,14613115,265
"147",2018,5,31,14234113,237
"148",2018,6,1,58248564,1020
"149",2018,6,2,55977368,956
"150",2018,6,3,61636755,1070
"151",2018,6,4,66650353,924
