"","year","month","day","keyword","specialsearchcount","advancedextensioncount"
"1",2018,1,5,"fileres",6,0
"2",2018,1,5,"filetype",11,0
"3",2018,1,5,"filter_only",893,0
"4",2018,1,5,"full_text",2965581,201
"5",2018,1,5,"full_text_querystring",100304,2
"6",2018,1,5,"full_text_simple_match",2864384,199
"7",2018,1,5,"hastemplate",66,0
"8",2018,1,5,"incategory",651,0
"9",2018,1,5,"insource",274,0
"10",2018,1,5,"intitle",1863,0
"11",2018,1,5,"phrase_match_prefix",22,0
"12",2018,1,5,"prefer-recent",2,0
"13",2018,1,5,"prefix",2446,0
"14",2018,1,5,"query_string",13313,2
"15",2018,1,6,"filemime",3,0
"16",2018,1,6,"filetype",5,0
"17",2018,1,6,"filew",2,0
"18",2018,1,6,"filter_only",6044,16
"19",2018,1,6,"full_text",23326947,1180
"20",2018,1,6,"full_text_querystring",1212387,94
"21",2018,1,6,"full_text_simple_match",22108516,1070
"22",2018,1,6,"hastemplate",146,0
"23",2018,1,6,"incategory",6002,0
"24",2018,1,6,"insource",1476,16
"25",2018,1,6,"intitle",14007,0
"26",2018,1,6,"linksto",15,0
"27",2018,1,6,"phrase_match_prefix",72,0
"28",2018,1,6,"prefer-recent",40,0
"29",2018,1,6,"prefix",16532,0
"30",2018,1,6,"query_string",128819,80
"31",2018,1,7,"filemime",21,0
"32",2018,1,7,"filetype",2,0
"33",2018,1,7,"filter_only",8757,48
"34",2018,1,7,"full_text",25681503,1290
"35",2018,1,7,"full_text_querystring",1220858,204
"36",2018,1,7,"full_text_simple_match",24451888,1038
"37",2018,1,7,"hastemplate",190,0
"38",2018,1,7,"incategory",10020,0
"39",2018,1,7,"insource",2616,48
"40",2018,1,7,"intitle",13154,14
"41",2018,1,7,"linksto",91,0
"42",2018,1,7,"local",35,0
"43",2018,1,7,"phrase_match_prefix",65,0
"44",2018,1,7,"prefer-recent",16,0
"45",2018,1,7,"prefix",17385,0
"46",2018,1,7,"query_string",119296,189
"47",2018,1,8,"filemime",4,0
"48",2018,1,8,"filetype",35,0
"49",2018,1,8,"filter_only",14835,8
"50",2018,1,8,"full_text",28834929,692
"51",2018,1,8,"full_text_querystring",1351002,67
"52",2018,1,8,"full_text_simple_match",27469092,617
"53",2018,1,8,"hastemplate",313,0
"54",2018,1,8,"incategory",13132,0
"55",2018,1,8,"insource",2723,8
"56",2018,1,8,"intitle",16375,24
"57",2018,1,8,"linksto",58,0
"58",2018,1,8,"phrase_match_prefix",92,0
"59",2018,1,8,"prefer-recent",88,0
"60",2018,1,8,"prefix",22375,0
"61",2018,1,8,"query_string",122869,51
"62",2018,1,9,"filetype",17,0
"63",2018,1,9,"filter_only",15131,48
"64",2018,1,9,"full_text",29822027,1361
"65",2018,1,9,"full_text_querystring",1403369,191
"66",2018,1,9,"full_text_simple_match",28403527,1122
"67",2018,1,9,"hastemplate",758,16
"68",2018,1,9,"incategory",13578,0
"69",2018,1,9,"inlanguage",1,0
"70",2018,1,9,"insource",2239,88
"71",2018,1,9,"intitle",16486,0
"72",2018,1,9,"linksto",40,0
"73",2018,1,9,"phrase_match_prefix",227,0
"74",2018,1,9,"prefer-recent",17,0
"75",2018,1,9,"prefix",22067,16
"76",2018,1,9,"query_string",127411,150
"77",2018,1,10,"filesize",3,0
"78",2018,1,10,"filetype",46,16
"79",2018,1,10,"filew",16,16
"80",2018,1,10,"filter_only",16739,16
"81",2018,1,10,"full_text",29936399,1175
"82",2018,1,10,"full_text_querystring",1392276,69
"83",2018,1,10,"full_text_simple_match",28527384,1090
"84",2018,1,10,"hastemplate",246,8
"85",2018,1,10,"incategory",14803,0
"86",2018,1,10,"inlanguage",4,0
"87",2018,1,10,"insource",2184,8
"88",2018,1,10,"intitle",16541,16
"89",2018,1,10,"linksto",6,0
"90",2018,1,10,"phrase_match_prefix",338,0
"91",2018,1,10,"prefer-recent",44,0
"92",2018,1,10,"prefix",20784,8
"93",2018,1,10,"query_string",130855,45
"94",2018,1,11,"filemime",7,0
"95",2018,1,11,"filetype",20,16
"96",2018,1,11,"filter_only",18854,0
"97",2018,1,11,"full_text",29366323,1719
"98",2018,1,11,"full_text_querystring",1350096,415
"99",2018,1,11,"full_text_simple_match",27997373,1304
"100",2018,1,11,"hastemplate",616,0
"101",2018,1,11,"incategory",18645,0
"102",2018,1,11,"insource",1721,0
"103",2018,1,11,"intitle",16750,71
"104",2018,1,11,"linksto",955,0
"105",2018,1,11,"nearcoord",45,0
"106",2018,1,11,"neartitle",4,0
"107",2018,1,11,"phrase_match_prefix",386,0
"108",2018,1,11,"prefer-recent",57,0
"109",2018,1,11,"prefix",19582,16
"110",2018,1,11,"query_string",118410,415
"111",2018,1,12,"filemime",3,0
"112",2018,1,12,"fileres",18,0
"113",2018,1,12,"filetype",5,0
"114",2018,1,12,"filter_only",16924,32
"115",2018,1,12,"full_text",26447037,1525
"116",2018,1,12,"full_text_querystring",1300487,176
"117",2018,1,12,"full_text_simple_match",25129626,1317
"118",2018,1,12,"hastemplate",162,16
"119",2018,1,12,"incategory",16372,416
"120",2018,1,12,"insource",2311,16
"121",2018,1,12,"intitle",14351,64
"122",2018,1,12,"linksto",290,0
